date,has_press_conf,year
2011-01-26,0,2011
2011-03-15,0,2011
2011-04-27,1,2011
2011-06-22,1,2011
2011-08-09,0,2011
2011-09-21,0,2011
2011-11-02,1,2011
2011-12-13,0,2011
2012-01-25,1,2012
2012-03-13,0,2012
2012-04-25,1,2012
2012-06-20,1,2012
2012-08-01,0,2012
2012-09-13,1,2012
2012-10-24,0,2012
2012-12-12,1,2012
2013-01-30,0,2013
2013-03-20,1,2013
2013-05-01,0,2013
2013-06-19,1,2013
2013-07-31,0,2013
2013-09-18,1,2013
2013-10-30,0,2013
2013-12-18,1,2013
2014-01-29,0,2014
2014-03-19,1,2014
2014-04-30,0,2014
2014-06-18,1,2014
2014-07-30,0,2014
2014-09-17,1,2014
2014-10-29,0,2014
2014-12-17,1,2014
2015-01-28,0,2015
2015-03-18,1,2015
2015-04-29,0,2015
2015-06-17,1,2015
2015-07-29,0,2015
2015-09-17,1,2015
2015-10-28,0,2015
2015-12-16,1,2015
2016-01-27,0,2016
2016-03-16,1,2016
2016-04-27,0,2016
2016-06-15,1,2016
2016-07-27,0,2016
2016-09-21,1,2016
2016-11-02,0,2016
2016-12-14,1,2016
2017-02-01,0,2017
2017-03-15,1,2017
2017-05-03,0,2017
2017-06-14,1,2017
2017-07-26,0,2017
2017-09-20,1,2017
2017-11-01,0,2017
2017-12-13,1,2017
2018-01-31,0,2018
2018-03-21,1,2018
2018-05-02,0,2018
2018-06-13,1,2018
2018-08-01,0,2018
2018-09-26,1,2018
2018-11-08,0,2018
2018-12-19,1,2018
